robot_wr,robot_wl,robot_wr_ref,robot_wl_ref,robot_counter,encoder_right,encoder_left
1.52763,1.59989,1.6,1.6,28058,471,462
1.55236,1.61521,1.6,1.6,45847,480,472
1.54706,1.60425,1.6,1.6,54741,485,476
1.57588,1.59428,1.6,1.6,63635,490,481
1.56848,1.61886,1.6,1.6,6993,494,486
1.56173,1.64121,1.6,1.6,15887,499,491
1.61425,1.64642,1.6,1.6,33675,509,500
1.59347,1.65071,1.6,1.6,51464,518,510
1.61811,1.63655,1.6,1.6,60358,523,515
1.6273,1.67621,1.6,1.6,12610,532,525
1.64889,1.6934,1.6,1.6,21504,538,530
1.6349,1.70903,1.6,1.6,30398,542,535
1.62216,1.72326,1.6,1.6,39292,547,540
1.64422,1.73621,1.6,1.6,48186,552,545
1.65193,1.7587,1.6,1.6,439,562,555
1.68893,1.77733,1.6,1.6,18227,572,565
1.68893,1.77733,1.6,1.6,27121,577,570
1.71956,1.79275,1.6,1.6,36015,582,575
1.73284,1.79943,1.6,1.6,44909,587,580
1.74492,1.80552,1.6,1.6,53803,592,585
1.76592,1.81609,1.6,1.6,6056,602,595
1.77502,1.82067,1.6,1.6,14950,607,600
1.72659,1.82863,1.6,1.6,32738,617,610
1.70559,1.83208,1.6,1.6,41632,622,615
1.72013,1.80158,1.6,1.6,50526,628,620
1.73336,1.80747,1.6,1.6,59420,633,626
1.74541,1.81285,1.6,1.6,2778,638,631
1.72272,1.81772,1.6,1.6,11672,643,636
1.7357,1.82214,1.6,1.6,20567,649,641
1.75828,1.82985,1.6,1.6,38355,659,652
1.73443,1.83319,1.6,1.6,47249,664,657
1.75723,1.87264,1.6,1.6,65037,675,668
1.76714,1.87215,1.6,1.6,8395,681,673
1.77613,1.87168,1.6,1.6,17289,686,678
1.81793,1.87123,1.6,1.6,26184,692,683
1.82235,1.87085,1.6,1.6,35078,697,689
1.82636,1.8705,1.6,1.6,43972,702,694
1.83002,1.87018,1.6,1.6,52866,708,699
1.83639,1.86964,1.6,1.6,5118,719,710
1.83915,1.90304,1.6,1.6,14012,724,716
1.84393,1.89683,1.6,1.6,31800,735,726
